hostcode,hostdesc
MGWP   ,PRIOR TO WINTER CROP
MIFSP  ,STORED PRODUCT FACILITIES
MIPABS ,BROILER & OTHER DEEP LITTER SHEDS
MIPAH  ,STABLE - PEST CONTROL
MIPAKT ,GENERAL DISINFECTION OF PRUNING TOOLS
MIPAL  ,"SHEEP INSTRUMENTS-CRUTCHING,MULESING ETC"
MIPAU  ,VETERINARY INSTRUMENT
MIPBIW ,WATER LINES
MIPBL1 ,"LOG, POST AND POLE - PROTECTION"
MIPBPO ,POST - CONSTRUCTION
MIPDE  ,DECKING
MIPFM  ,MOSQUITO NETS - REPELLANT TREATMENT
MIPFQ  ,FOOD PRODUCT/COMMODITY
MIPIK  ,PEST CONTROL - FOR CURTAINS
MIPP   ,"KENNEL, ANIMAL LIVING AREA PEST CONTROL"
MIPPO  ,ORNAMENTAL POND &/OR FOUNTAIN
MIPPS2 ,BROILER POULTRY FEED SHED
MIPSR  ,STORE ROOM
MIPWL  ,WOOL SHED
MNAW   ,AQUATIC WEED CONTROL
MNCPB  ,BETWEEN CROPPING
MNCPB1 ,CROPPING AREA
MNFE   ,FALLOW ESTABLISHMENT
MNFW2  ,SUMMER FALLOW WEED CONTROL
MNFWE  ,FALLOW OR PRIOR TO SEEDING A CROP
MNFWEF ,FALLOWS OR PRIOR TO PLANTING A CROP
MNFWL  ,FALLOW OR STUBBLE - PRIOR TO LUPIN
MNG    ,GENERAL WEED CONTROL
MNGHA  ,POTATO - HAULM DESSICATION
MNGLT  ,LONG TERM WEED CONTROL
MNIF   ,FACTORY SITE WEED CONTROL
MNLA   ,"LAKE, STREAM MARGIN WEED CONTROL"
MNLO   ,ORNAMENTAL LAKE
MNPD   ,FARM - NON DISTURBED AREA
MNPL   ,PLANTATION WEED CONTROL
MNPS   ,POWER STATION WEED CONTROL
MNTC   ,TENNIS COURT NOT CONCRETE
MO     ,ORNAMENTAL HORTICULTURE
MON.   ,ORNAMENTALS - GENERAL - GARDEN
MON1   ,ORNAMENTAL PLANT - POTTED
MONAB  ,BOX
MONAK  ,NERIUM
MONB7  ,AGERATUM
MONBS  ,GRAPE HYACINTH (POST PLANTING)
MONBW  ,ORNITHOGALUM (POST PLANTING)
MONBY  ,COLEONEMA ALBUM
MONCE  ,HEBES SPP.
MONCW  ,SEMIHARDWOOD CUTTING
MOND2  ,STROBILANTHES
MONEK  ,CAROLINA JASMINE
MONEM  ,TALLOWWOOD
MONEO  ,ENGLISH OAK
MONES  ,PINK OR RED IRONBARK
MONF   ,FLOWER
MONFI  ,STOCK
MONFL  ,DELPHINIUM
MONFX  ,HOLLYHOCK
MONGC  ,WATERCRESS OR NASTURTIUM
MONGD  ,SAGE
MONGPO ,ORNAMENTAL PLANT - OUTDOORS
MONGU  ,SPURGE
MONID  ,PHILODENDRON
MONIG  ,LADY'S SLIPPER
MONIN  ,BULBOUS IRIS - PRIOR TO PLANTING
MONJC  ,CROTON
MONJT  ,BRUNFELSIA CALYSINA
MONJV  ,SUMMER ASTER
MONKH  ,SCINDAPSUS OR RHAPHIDOPHORA
MONL1  ,CHRYSANTHEMUM-TRANSPLANTED SPLITS-PRE-EM
MONLD  ,LILIUM SPP.
MONLT2 ,TULIP - POST-EMERGENT
MONMA  ,MELIA AZEDARACH
MONNI  ,ORNAMENTALS (NOT FERNS)
MONP   ,ORNAMENTAL PEACH
MONPG  ,PODOCARPUS GRACILOR
FRSAL  ,APRICOT - SEE LABEL FOR VARIETY
FRSB   ,CHERRY
FRSBF  ,CHERRY - FLORENCE
FRSBL  ,CHERRY - SEE LABEL FOR VARIETY
FRSC   ,NECTARINE
FRSFD  ,STONE FRUIT - DORMANT - OVER 3 YEARS OLD
FRSR   ,STONE FRUIT - PRE-HARVEST
FRT10P ,PERSIMMON - POST-HARVEST
FRT30  ,PERSIMMONS DIP
FRT5   ,JACKFRUIT
FRTAA  ,AVOCADO - POST-HARVEST DIP
FRTAE  ,AVOCADO - ESTABLISHED
FRTB   ,BANANA
FRTB1  ,BANANA - BAGGED
FRTB11 ,LADY FINGER BANANA
FRTBBI ,BANANA - BELL INJECTION
FRTBD1 ,BANANA - DIP
FRTDP  ,PINEAPPLE - POST-HARVEST
FRTEB  ,PAWPAW OVER 9 MO. OLD
FRTEPP ,PAWPAW - PRIOR TO PLANTING
FRTG   ,MANGO
FRTG1  ,MANGO PLANTATION
FRTGD  ,MANGO - POST-HARVEST DIP
FRTGP  ,MANGO - POST-HARVEST
FRTHE  ,GUAVA - ESTABLISHED
FRTW   ,KIWI FRUIT
FRV2   ,VINES - OVER 2 YEARS OLD
FRVBT  ,GRAPE - GORDO AND WALTHAM - POST HARVEST
FRVC   ,GRAPE - ZANTE CURRANT
FRVD   ,GRAPEVINE OVER 4 YEARS OLD
FRVDA  ,VINEYARD - OVER 1 YEAR OLD
FRVGNB ,GRAPEVINE - NON-BEARING
FRVSO  ,GRAPE - SULTANA (DRIED FRUIT)
FRVU   ,GRAPE - SEMILLON
FRXAD  ,PASSIONFRUIT - POST-HARVEST DIP
FRXB1  ,BANANA PASSIONFRUIT - POST-HARVEST DIP
FT1    ,TREEFRUIT OVER 3 YEARS OLD
GA     ,GARDEN
GCCT0  ,COTTON - FALLOW & SEEDBED
GCCT13 ,COTTON - SHIELDED SPRAYING
GCCT16 ,COTTON - STAGE I (UP TO FLOWERING)
GCCT17 ,COTTON - POST-EMERGENCE EARLY SPRAYING
GCCT21 ,COTTON - PRE-PLANT
GCCT22 ,COTTON-SHIELDED OR DIRECTED APPLICATION.
GCCT3  ,COTTON - PRE-SQUARING
GCCTS  ,COTTON - AT SEEDING
GCFBL  ,FIELD BEANS - REFER TO LABEL
GCG    ,CEREAL GRAIN
GCGPB  ,CEREAL GRAIN- POST HARVEST- BULK HANDLER
GCTP   ,TEA PLANTATION
GCVP   ,VINEYARD - COVER CROPS - PASTURES
GELA   ,LOCAL AREA - PRIOR TO SOWING
GGCG   ,CANARY GRASS
GLT    ,TREE PLANTATION
GSCS   ,CLOVER - SEED PRODUCTION
HE     ,HERB
HEMS   ,SPEARMINT
HHBU   ,BURDOCK
HHCH   ,CHERVIL
HOTTB  ,HOT TUB
HOVIY  ,HORTICULTURAL VINEYARD
IFS    ,STRANGLES
MAPAD  ,DAIRY OR MILKING SHED
MAWN1  ,EUROPEAN WASP - NEST
MAWNL  ,WASP NEST - LARGE
MBRI   ,BRIDGES
MGADA  ,"DUBOISIA OR CORKWOOD, OVER 3 YEARS OLD"
MGAE1  ,EUCALYPTUS SEEDLINGS (TO 1M HIGH) IN POT
MGAF3  ,FOREST - ESTABLISHED TREES
MGAP4  ,TREE RELEASE - POST PLANTING
MGAPI1 ,PINUS RADIATA PLANTATION -POST EMERGENCE
MGH    ,GENERAL HORTICULTURAL USE
MGHL   ,LIVE PLANT MATERIAL
MGHN   ,NURSERY CROP
MGHQ   ,BULK POTTING SOIL
MGV    ,VEGETATION - GENERAL
MHG    ,HOME GARDEN USE - GENERAL
MIHC   ,HARDCOURT
MIIS   ,IRRIGATION SYSTEM
MIPAS  ,"HOSPITAL EQUIPMENT-TROLLY,TRAY,GLASSWARE"
MIPAT  ,MEDICAL INSTRUMENT
MIPBA  ,FARM AND/OR ANIMAL HOUSING
MIPBIP ,POULTRY FEED EQUIPMENT
MIPBM  ,BEAM
MIPDA  ,PEST CONTROL BY THERMAL VAPOURISER
MIPFO  ,FEED SHED
MIPL   ,LAUNDRY - INDUSTRIAL / DOMESTIC
MIPM   ,MACHINERY
MIPPF  ,PIG FEED
MIPPI  ,PIGGERY
MIPPSH ,PIG SHEDS
MIPRG  ,PEST CONTROL - GARBAGE BIN
MIROOF ,ROOF
MMAS   ,MASONARY
MMHV   ,HEAVY VEGETATION
MMLMV  ,LIGHT TO MEDIUM VEGETATION
MMMHV  ,MEDIUM TO HEAVY VEGETATION
MNAF   ,FOOTPATH
MNBB   ,BRIDGE WEED CONTROL
MNCAR  ,CARPARK WEED CONTROL
MNCO   ,CONCRETE
MNFF   ,FALLOW MAINTENANCE (PRIOR TO PLANTING)
MNFSH  ,AROUND SHRUBS
MNFW1  ,FALLOW LAND - POST EMERGENCE WEED CONTRO
MNFW4  ,"FALLOW, STUBBLE SPRAY PRIOR TO WINTER CE"
MNFWB  ,"FALLOW,STUBBLE(PRIOR TO BARLEY)WEED CON."
MNFWC  ,FALLOW CROP LAND WEED CONTROL
MNFWF  ,FALLOW LAND
MNFWM  ,"FALLOW,STUBBLE - PRIOR TO MAIZE"
MNFWPS ,FALLOW - POST SORGHUM
MNGPC  ,WEED CONTROL - PRE-CROP EMERGENCE
MNGU   ,GUTTER WEED CONTROL
MNPE   ,WEED CONTROL - PETROLEUM STORAGE DEPOTS
MNPH   ,POST HARVEST WEED CONTROL
MNPTA  ,WEED CONT. PRIOR TO ESTABLISHMENT(NO DIS
MNPTF  ,WEED CON. PRIOR TO FALLOW
MNWS   ,STORAGE YARD WEED CONTROL
MON    ,ORNAMENTAL
MONAD  ,ACACIA ACINACEA
MONAP  ,HELICHRYSUM
MONAV  ,ROSA
MONAX  ,SCHEFFLERA
MONB1  ,DAFFODIL - PRE-EMERGENT
MONBA  ,COMMON FLAG IRIS
MONBG  ,DAFFODIL - POST PLANTING
MONBR  ,RANUNCULUS OR BUTTERCUP
MONBV  ,NARCISSUS - POST-PLANTING
MONC6  ,BLANKET FLOWER
MONCJ  ,ABIES
MONCO  ,COOTAMUNDRA WATTLE
MONCT  ,CASUARINA TORULOSA
MONCU  ,CASSIA BICAPSULARIS
MONDL  ,HEDERA
MONESM ,SWAMP MALLETT
MONFH  ,HERBACEOUS ORNAMENTAL PLANT
MONFS1 ,REIGER BEGONIA
MONFU  ,LARKSPUR
MONFWE ,WILDFLOWERS FOR EXPORT
MONFY  ,GERANIUM OR PELARGONIUM
MONGH  ,PANSY OR VIOLA
MONH   ,HERBACEOUS ORNAMENTAL
MONHA  ,HAWTHORN
MONI1  ,INDOOR PLANTS - SEE LABEL FOR EXCEPTIONS
MONIM  ,PHOENIX OR DATE PALM
MONJL  ,PEPEROMIA SPP.
FRSX   ,STONE FRUIT (SEE LABEL FOR EXCEPTIONS)
FRT141 ,RAMBUTAN PLANTATION
FRT17  ,SAPODILLA
FRT9   ,MANGOSTEEN
FRTBE  ,BANANA - ESTABLISHED
FRTEA  ,PAWPAW OVER 3 YEARS OLD
FRTHPP ,GUAVA - PRIOR TO PLANTING
FRTI   ,BLACK SAPOTE
FRTLP  ,LYCHEE - POST-HARVEST
FRTR   ,CAROB
FRTWA  ,KIWI FRUIT OVER 3 YEARS OLD
FRTWD  ,KIWI FRUIT - POST-HARVEST DIP
FRTWT  ,KIWIFRUIT - TRELLISED
FRTY   ,CHERIMOYA
FRVAM  ,GRAPE - MALAGA
FRVDO  ,GRAPE - DORADILLO
FRVE   ,GRAPEVINE OVER 2 YEARS OLD
FRVGE  ,GRAPE - SEE LABEL FOR EXCEPTIONS
FRVGR  ,GRAPE - GRENACHE
FRVPS  ,GRAPEVINE GRAFT - PARENT STOCK
FRVS   ,GRAPE - SULTANA
FRVT2  ,GRAPE - TABLE
FRXAV  ,PASSIONFRUIT VINE
FRXC   ,OLIVE
FRXCT  ,OLIVE TREE - ESTABLISHED
FRXE   ,COFFEE
FSCEF  ,SUGARCANE - ESTABLISHMENT AND FALLOWS
GCCL   ,CELERIAC
GCCT12 ,COTTON SEED - EXPORT ONLY
GCCT19 ,COTTON - PRE-EMERGENCE
GCCT20 ,COTTON - SOIL INCORPORATED PRE-SOWING
GCCT26 ,COTTON - REFER TO LABEL
GCCT28 ,COTTON - LIBERTY LINK
GCCTC  ,COTTON WITH ROUNDUP TECHNOLOGY - IN CROP
GCGQPS ,CEREAL GRAIN QPS & APPROVED CUE
GCNQPS ,NUT QPS & APPROVED CRITICAL USE EXEMPTIO
GCST   ,CROP - SOWN/TRANSPLANTED
GFL1   ,FORESTRY PLANTATION
GGRPE  ,RICE - POST-EMERGENCE UP TO 4 LEAF STAGE
GSLY   ,LATHYRUS SEED CROP
MAP    ,ANIMAL PEST CONTROL
MAS    ,MASONRY
MAWAB1 ,AERIAL BAITING
MAWT   ,TERMITE NEST OR COLONY
MG     ,AGRICULTURAL OR HORTICULTURAL SITUATION
MGA1   ,AMENITY HORTICULTURE AREAS
MGADP  ,DUBOISIA - PRIOR TO SOWING
MGAE3  ,EUCALYPTUS TREE PLANTING - PRE PLANTING
MGAES  ,EUCALYPTUS SEEDLING
MGAFA1 ,FARM TREE PLANTATION-REFER TO LABEL
MGAPCOR,CORYMBIA SPP.
MGAPEN ,EUCALYPTUS NITENS - PRIOR TO PLANTING
MGAPP  ,PINUS PLANTATION - PINUS PINEASTER
MGASPA ,PASTURE TOPPING
MGCL   ,CROP (PRIOR TO SOWING) - SEE LABEL
MGHB1  ,GARDEN BED
MGHBS  ,WEED CONTROL - GARDEN BED (SPOT SPRAY)
MGHC   ,PROPOGATION OF PLANT MATERIAL
MGHO   ,OUTDOOR PLANT
MIBP   ,BOTTLING PLANT
MIMBG  ,"MOSQUITO RESTING SITES, BREEDING GROUND"
MIPAO  ,MEAT PROCESSING EQUIPMENT
MIPB   ,"SHED,FACTORY,WAREHOUSE OR OTHER BUILDING"
MIPBAR ,BARRIER SPRAYING
MIPBCP ,"BOX, CASE - PREVENTATIVE SPRAY"
MIPBD  ,FENCELINE WEED CONTROL
MIPBIM ,MEDICATION TANKS
MIPC   ,PROFESSIONAL PEST CONTROL
MIPD   ,DOMESTIC PEST CONTROL
MIPDF  ,"MATTRESS, PILLOW OR CUSHION PEST CONTROL"
MIPFE  ,PEST CONTROL - ALONG FENCES
MIPGA  ,GARDEN PEST CONTROL
MIPIP  ,"PEST C. INSTITUTIONAL, BUSINESS PREMISES"
MIPME  ,MOSQUITO ERADICATION CAMPAIGNS
MIPPE  ,PEANUT STORAGE AREA/EQUIPMENT
MIPPF2 ,CATTLE FEED
MIPS   ,STAGNANT POND
MIPSI  ,SILL
MIWAX  ,WATER
MIWSS  ,WATER STORAGE SYSTEM
MIWT   ,WATER TREATMENT SYSTEM
MMMV   ,MEDIUM VEGETATION
MNABA  ,WEED CONTROL - IRRIGATION SYSTEM WATER
MNABC2 ,DAM - POTABLE WATER
MNARE  ,LONG RESIDUAL CONTROL
MNFFM  ,FALLOW AREA MAINTENANCE (PRIOR TO SOWING
MNFWG  ,FALLOW (NO TILLAGE)
MNFWS  ,"FALLOW,STUBBLE - PRIOR TO SWEETCORN"
MNGDC  ,AID TO CULTIVATION - WEED CONTROL
MNMA   ,WEED CONTROL - AROUND MAIL BOXES
MNPC   ,WEED CONTROL - POWER LINES
MNPDC  ,"PATH OR DRIVE, NOT CONCRETE"
MNPU   ,PUBLIC UTILITY WEED CONTROL
MNSTA  ,"STATUE, MONUMENT WEED CONTROL"
MNWM   ,"MARGINS OF DAMS, LAKES AND STREAMS"
MONAN  ,PANDOREA
MONAY  ,SOLLYA
MONB4  ,BULB AND CORM - PRIOR TO SOWNG
MONBD  ,DAFFODIL
MONCB  ,CALLISTEMON COMBOYENSIS
MONCFL ,CUT FLOWER
MONCL  ,CASUARINA LITTORALIS
MONCY  ,CASUARINA SPP.
MOND1  ,PACHYSTACHYS
MONDF  ,DRACAENA
MONDO  ,LEUCOTHOE
MONDR  ,MAHONIA
MONEH  ,PSEUDOPANAX
MONFE  ,CARNATION
MONFK  ,CALENDULA OR MARIGOLD-PRIOR TO PLANTING
MONFO  ,GERANIUM OR CRANESBILL
MONFT  ,SWEET PEA
MONFV  ,LARKSPUR - PRIOR TO PLANTING
MONG1  ,GREVILLEA SPP.
MONGA  ,DAISY
MONGO  ,GORDONIA AXILLARIS
MONIJ  ,IXORA
MONIK  ,"ZAMIA, WILD PINEAPPLE OR BURRAWANG"
MONJI  ,MARANTA
MONJY  ,EUPHORBIA PULCHERRIMA
MONKN3 ,CHRYSANTHEMUM - SEE LABEL FOR EXCEPTIONS
MONLI  ,LILY
MONME  ,MELALEUCA ARMILLARIS
MONMU  ,ORANGE JASMINE
MONONS ,HARDY ORNAMENTAL NURSERY STOCK - SEE LAB
MONOR  ,ORNAMENTAL (SEE LABEL)
MONP1  ,CARIBBEAN PINE
MONRA  ,RAPHIOLEPIS INDICA
MONRO  ,BLUE LAGOON ROSEMARY
MONSF  ,COTONEASTER
MONSN  ,CONIFER
MONSW  ,WISTERIA
MONT2  ,CYPRUS PINE
MONTD  ,ACER
MONTG  ,LEPTOSPERMUM OR TEA TREE
MONTIP ,TIPUANA
MONTRE1,TREE - CONTAINER GROWN
MONTV  ,ACALYPHA
MONTW  ,AGONIS
MONUC  ,HEMIANDRA
MONUW  ,GREVILLEA CLEARVIEW DAVID
MONZ   ,ZAHNIA
MONZM  ,ELM TREE
MSBI   ,FALLOWS AND SEEDBEDS
MSBK   ,ORNAMENTAL SEEDBED
FRSC1  ,NECTARINE - SEE LABEL FOR DETAILS
FRSCD  ,DORMANT NECTARINE
FRSE1  ,PLUM - DORMANT - OVER 3 YEARS OLD
FRSEO  ,PLUM - ORCHARD
FRSSD  ,STONE FRUIT - DORMANT
FRT1   ,DURIAN
FRT10  ,PERSIMMON
FRT2   ,GRANADILLA
FRT21P ,TAMARILLO - POST-HARVEST
FRTA   ,AVOCADO
FRTAC  ,"AVOCADO, OVER 3 YEARS OLD"
FRTBB  ,"BANANA, OVER 3 YEARS OLD"
FRTBM  ,BANANA - PLANTING MATERIAL
FRTBPP ,BANANA - PRIOR TO PLANTING
FRTBS  ,BANANA - SEE LABEL
FRTD3  ,PINEAPPLE - WITHOUT UREA
FRTDA  ,PINEAPPLE - PRE-EMERGENT
FRTEE  ,ELEPHANT APPLE
FRTIS  ,SAPOTE
FRTL1  ,LYCHEE PLANTATION
FRTM   ,MONSTERA FRUIT
FRTOD  ,CACTUS FRUIT - POST-HARVEST DIP
FRTQ   ,EGG FRUIT
FRTZP  ,FEIJOA - POST-HARVEST
FRV1   ,GRAPE - POST-HARVEST
FRVAD  ,GRAPE - CABERNET SAUVIGNON
FRVAF  ,GRAPE - RED MALAGA
FRVAG  ,VINEYARD - PRIOR TO PLANTING
FRVCD  ,GRAPE - CURRANT (DRIED FRUIT)
FRVGT  ,GRAPEVINE ROOTLING
FRVR   ,GRAPE - RAISIN
FRVSF  ,GRAPE - FLAME SEEDLESS
FRVT   ,GRAPE - TABLE OR DESSERT
FRVWC  ,GRAPE - MUSCAT OF HAMBURG
FRXAPL ,PASSIONFRUIT PLANTATION
FRXBD  ,FIG - POST-HARVEST DIP
FRXCA  ,"OLIVE, OVER 3 YEARS OLD"
GATF   ,GARDEN FRUIT TREE
GC2    ,CROP (OTHER) - SEE MIXTURE PRODUCT LABEL
GCCT10 ,COTTON (PRE-EMERGENT)
GCGL   ,GALANGAL
GCS    ,CROP - SPICE
GEPB   ,PLANT BED - PRIOR TO SOWING
GGPO   ,OATEN HAY
GPPRE  ,PERENNIAL PASTURES - ESTABLISHING
GPSS   ,SUNSCREEN
GPTG1  ,TOLERANT GRASS SP. - OVER 1 YEAR OLD
GPWD1  ,WINTER DORMANT GRASS-DOMINANT
GSCM   ,CLOVER / MEDIC SEED CROP
GSVP   ,VETCH (POPANY ONLY) SEED CROP
HEZO   ,GINGER
HHMT   ,MINT
IFA    ,BACTERIAL INFECTIONS
IFW    ,ANIMAL WOUND OR SORE
LASVF  ,ASIAN LEAFY VEGETABLE
MAMS   ,DAIRY PLANT STAINLESS STEEL
MAPAF  ,"MATTRESS, PADS AND FILL"
MAWN   ,WASP NEST
MB     ,LETTERBOX
MGA    ,GENERAL AGRICULTURAL USE
MGAAS  ,STORED BEEHIVE
MGAD2  ,"DUBOISIA, OVER 1 YEAR OLD"
MGAE   ,EUCALYPTUS TREE
MGAF4  ,FOREST - POST EMERGENCE WEED CONTROL
MGAF5  ,FOREST
MGAG   ,AGRICULTURAL CROP
MGAMA  ,MOUNTAIN ASH
MGAP1  ,PINE PLANTATION
MGAP6  ,NATIVE WOODLAND TREE RELEASE POST PLANTI
MGAPCO1,CORYMBIA PRE PLANTING
MGC    ,CROP - WEED CONTROL PRIOR TO SOWING
MGHD   ,EGG EMERSION
MGHHS  ,HORTICULTURAL CROP - PRIOR TO SOWING
MGHTSQP,TOP SOIL QPS & APPROVED CUE
MGSP   ,SPOT SPRAYING
MGT    ,TANK
MIBED  ,ANIMAL BEDDING
MICUP  ,CUPBOARD
MIDW   ,DRIVEWAY
MIFI   ,FLOOD WATER
MIPAK  ,SHEARING SHED OR INSTRUMENTS
MIPAP  ,COOL ROOM OR REFRIGERATOR
MIPBP1 ,PRE - CONSTRUCTION
MIPDS  ,DOMESTIC SURFACE SPRAY - PEST CONTROL
MIPFL  ,FLOOR
MIPI   ,PEST CONTROL - INDUSTRIAL AREAS
MIPLE  ,LEDGE
MIPLS  ,LANDSCAPE STRUCTURES
MIPPF1 ,SHEEP FEED
MIPPS  ,POULTRY SHED
MIPRW  ,RABBIT WARREN
MIPSE  ,SHED (IN OR AROUND)
MIROS  ,SICK ROOM
MIRS   ,STORM WATER
MIVP   ,AROUND PLANTS - GENERAL
MNAD   ,"TRACK, ROADWAY AND DRAIN WEED CONTROL"
MNBA   ,WEED CONTROL - AROUND SWIMMING POOLS
MNFOR  ,WEED CONTROL PRIOR TO FORAGE SPECIES
MNFW5  ,FALLOW - PRE-EMERGENCE
MNGDI  ,WEED CONTROL - PRIOR TO DIGGING
MNROA  ,WEED CONTROL PRIOR TO BITUMEN SEALING
MNST   ,STORAGE TANK WEED CONTROL
MNTGM  ,MINIMUM TILLAGE
MON3   ,PLANTS
MONA   ,ORNAMENTAL - FLOWER OR SHRUB
MONAU  ,AUCUBA
MONAW  ,ROSAMARINUS
MONB   ,"ORNAMENTAL BULB, CORM OR RHIZOME"
MONB6  ,AESCHYNANTHUS
MONB8  ,ANTHURIUM
MONBE  ,ANEMONE
MONBGE ,SOUTH AUSTRALIA BLUE GUM
MONBM  ,DUTCH IRIS
MONBO  ,AGAPANTHUS
MONBP  ,DUTCH IRIS - POST PLANTING
MONBQ  ,FREESIA (POST PLANTING)
MONC5  ,DIANTHUS
MONCGC ,CUTTINGS - CONTAINER GROWN
MONCT1 ,CHRISTMAS TREE
MONCV  ,SILVER ELM
MOND   ,ORNAMENTAL CUT FLOWER
MONET  ,CADAGA
MONF1  ,SWEET PEA - PRIOR TO PLANTING
MONF2  ,WILD ASTER
MONF3  ,MARIGOLD
MONF6  ,COSMOS
MONF7  ,SALVIA SPECIES
MONF8  ,COLEUS
MONF9  ,BELLIS SPP
MONFF  ,PRIMULA
MONFQ  ,SNAPDRAGON
MONFR  ,ORNAMENTAL BEDDING PLANT
MONFR2 ,BEDDING PLANTS - IN-GROUN
MONFS  ,BEGONIA
MONFSM ,FLOWERS - SEEDLINGS & MATURE CROPS
MONHB  ,HEBES BUXAFOLIA
MONIH  ,AFRICAN VIOLET
MONIR  ,BULBOUS IRIS
MONIS  ,GLADIOLUS - PRE-EMERGENT
MONJA  ,JAPANESE BOX
MONJO  ,JUNIPERUS CONFERTA
MONJP  ,SYNGONIUM
MONKG  ,PHALAENOPSIS
MONKK  ,TAGETES
MONKN1 ,CHRYSANTHEMUM OR TANACETUM - SEEDLING
MONL9  ,LEUCAENA
MONOE  ,ORNAMENTAL EUCALYPTUS
MONOT  ,TEA TREE
MONP2  ,HOOP PINE
MONSL  ,LIQUIDAMBER
MONSV  ,ORNAMENTAL CLIMBER VINE
MONSX  ,ABELIA
MONT0  ,ROSE OVER 1 YEAR OLD
MONTEST,TREE ESTABLISHMENT
MONTFL ,FLAME TREE
MONTH  ,FUCHSIA
MONTI  ,GARDENIA
MONTM  ,LIGUSTRUM OR PRIVET
MONTO  ,AZALEA
MONTZ  ,BAUHINIA OR BEANTREE
MONU1  ,PICEA
MONU10 ,EUCALYPTUS PILULARIS
MONU3  ,ORNAMENTAL GUM (E. GLOBULUS)
MONUA  ,EUTAXIA
MONUK  ,"MYRTLE, TEA TREE OR PAPERBARK"
MONWE  ,WESTRINGIA FRUITICOSA
MONZX  ,TENDER FOLIAGE ORNAMENTAL
MOPMP  ,BRIGALOW REGROWTH
MOPY2  ,PYRETHRUM - NEWLY TRANSPLANTED SPLITS
MOPY3  ,PYRETHRUM - ESTABLISHED 1 YEAR OR MORE
MOPY9  ,PYRETHRUM - ESTABLISHED CROP - POST HARV
MSB1   ,BED - PLANT - GENERAL
MSBPS  ,SEEDBED - PRIOR TO SOWING
MTFA   ,BOWLING AND GOLF GREEN TURF
MTFBE  ,LAWN EDGE
MTFC   ,COMMON COUCH LAWN OR TURF
MTFC1  ,COUCH GRASS LAWN
MTFCK  ,RECREATION TURF (COMMON COUCH OR KIKUYU)
MTFCW  ,WATER COUCH TURF OR LAWN
MTFEA  ,KENTUCKY BLUEGRASS LAWN OR TURF
MTFFA  ,GOLF FAIRWAY OF BENT GRASS
MTFGK  ,GOLF FAIRWAY OF KIKUYU GRASS
MTFGLR ,GOLF COURSE - LONG ROUGH
MTFGO  ,GOLF TEE
MTFGT  ,GOLF GREEN TURF (SEE LBL FOR VARIETIES)
MTFH   ,TENNIS COURT
MTFIC  ,LAWN - INDUSTRIAL / COMMERCIAL
MTFO   ,BUFFALO GRASS LAWN OR TURF
MTFTI  ,GOLF FAIRWAY OF STRAWBERRY CLOVER
MTFTS  ,GOLF FAIRWAY OF SUBTERRANEAN CLOVER
NT3P   ,NUT TREE PLANTATION
NT4    ,NUTS
NTCR   ,NUT CROP
NTCRP  ,NUT CROP (PRIOR TO SOWING)
NTE    ,NUT TREE - ESTABLISHED
NTSA1  ,ALMOND - PRIOR TO PLANTING
NTSG2  ,MACADAMIA - DORMANT - OVER 3 YEARS OLD
NTSG4  ,MACADAMIA NUT PLANTATION
NTSGF  ,MACADAMIA FLOWER
NTSGH2 ,MACADAMIA - H2 VARIETY
NTSK4  ,PEANUT - REFER TO LABEL
NTSKPE ,PEANUT - POST-EMERGENT
NTSKV  ,VIRGINIA BUNCH PEANUT
NTSZ   ,HAZELNUT
PAAG   ,PASTURE - REFER TO LABEL FOR USE
PAAI   ,PRIOR TO IMPROVED PASTURE
PAAM   ,PASTURE MANIPULATION
PAASC  ,CAPEWEED SEED SET CONTROL
PAAST  ,CEREAL STUBBLE PASTURE
PACM   ,CLOVER/MEDIC PASTURE
PACPS  ,SUBCLOVER (PERENNIAL GRASS PASTURE)
PACSA  ,CLOVER PASTURE-PRIOR TO SOWING
PACSR1 ,TRIKKALA SUBCLOVER
PACT   ,STRAWBERRY CLOVER PASTURE
PAEH   ,AECHMEA SPP. - POT PLANT
PAEH3  ,AECHMEA SPP. - CUTTINGS
PAES3  ,AESCHYNANTHUS SPP. - CUTTING
PAL2   ,LUCERNE PASTURE SEED CROP
PALY   ,LATHYRUS PASTURE
PAMBP  ,PARABINGA MEDIC PASTURE - SEEDLING
PANE   ,ANEMONE - POT PLANT
PAONA  ,NATURAL PASTURE (NATIVE)
PAOV2  ,VETCH (POPANY ONLY) PASTURE
PASE   ,PASTURE - SEEDLING
PASR   ,SERRADELLA PASTURE
PCPBPE ,PIGEON PEA - PRE-EMERGENT
PGAP   ,AMENITY PLANTINGS
PHE1   ,GOLDEN DURANTA
POAS1  ,ASPARAGUS - PRICKING-OFF SEEDLING
POAT   ,ASTER - POT PLANT
POBO1  ,BORONIA SPP. - PRICKING-OFF SEEDLING
POBO3  ,BORONIA SPP. - CUTTINGS
POCD3  ,CLERODENDRON - CUTTING
POCE2  ,CINERARIA - SEED SOWING
POCE3  ,CINERARIA - CUTTINGS
POCH   ,CHLOROPHYTUM - POT PLANT
POCH1  ,CHLOROPHYTUM - PRICKING-OFF SEEDLING
POCL   ,CALENDULA - POT PLANT
POCN0  ,CARNATION - FIELD GROWN - TRANSPLANT ONL
POCS2  ,CHRYSANTHEMEM SEGETUM - SEED SOWING
