hostcode,hostdesc
FCP2   ,FIELD PEA-POST-EMERGENCE(SEE LABEL VAR)
FCP4   ,FIELD PEA - PRE-HARVEST
FCPB   ,PIGEON PEA
FCPCW3 ,COWPEA - REFER TO LABEL
FCPK1  ,CHICKPEA - PRE-PLANT
FCPK5  ,CHICKPEA - KABULI (GARBANZO)
FCPKP  ,CHICKPEA (PRIOR TO SOWING)
FCPO   ,SACCALINE
FCRS   ,SUGAR CANE / RATOON CONTROL
FCSD   ,SUGAR CANE - SPOT-SPRAYING
FCSI   ,SIRATRO
FCSPF  ,SUGAR CANE - AFTER FILLING IN
FCSSF  ,SHRUBBY STYLO FORAGE CROP
FCT    ,TOBACCO
FCTH   ,TOBACCO STORAGE AND HANDLING EQUIPMENT
FRBD   ,GOOSEBERRY
FRBE1  ,CURRANT OVER 1 YEAR OLD
FRBG   ,YOUNGBERRY
FRBJ4  ,REDCURRANT OVER 4 YEARS OLD
FRBK1  ,CANE BERRY FRUIT - INTER ROW
FRBR   ,RASPBERRY
FRCCA  ,CITRUS OVER 3 YEARS OLD
FRCD   ,GRAPEFRUIT
FRCM1  ,CITRUS - MATURE (SEE LABEL FOR EXCEPTION
FRCX   ,CITRUS - POST-HARVEST DIP
FRMIP  ,HONEY-DEW MELON - PRE-EMERGENT
FRMWP  ,WATERMELON - PRE-EMERGENT
FRPA   ,APPLE CROP = APPLE ORCHARD
FRPA7  ,DEMOCRAT APPLE
FRPAE  ,LADY WILLIAMS APPLE
FRPAMA ,MAMMEE APPLE
FRPDA  ,D'ANJOU PEAR
FRPDM  ,NASHI PEAR (NIJISSEIKI) - POST-HARVEST
FRPDN  ,NASHI (ASIAN PEAR) - NIJISSEIKI
FRPDT2 ,PEAR - DORMANT TREATMENT
FRPPO  ,POME FRUIT - POST-HARVEST DIP
FRRPL  ,APPLE - PINK LADY
FRSA4  ,APRICOT - ESTABLISHED
FRSC2  ,CHERRY - DORMANT
FRSDE  ,PEACH OVER 3 YEARS OLD
1SC    ,CATIONIC SURFACTANT
2IDPG  ,INDUSTRIAL AND/OR DOMESTIC PREMISES
ABB    ,BANTAM
ABDCT  ,COCKATOO
ABDPP  ,PEACH FACE
ABDSC  ,SMALL CAGE BIRDS
ABFP   ,BIRD - FOOD PRODUCING
ABOR   ,BIRDS - ORNAMENTAL
ABP1   ,POULTRY CHICKS - UP TO 28 DAYS OLD
ABP2   ,POULTRY CAGED LAYERS
ABP4   ,CHICKENS - OLDER THAN 4 WEEKS
ABPC   ,POULTRY CHICKS
ABPC1  ,CHICKENS
ABPPR  ,PULLET - REPLACEMENT
ABT    ,TURKEYS
ACCA4  ,CALF - UP TO 4 WEEKS OLD
ACCO   ,COW
ACCTU  ,COW (TEAT/UDDER)
ACDLP  ,DAIRY CATTLE LACTATING PREGNANT
ACFL   ,CATTLE - FEEDLOT
ADA    ,DOG - ADULT
ADD    ,DOG - MALE
ADG    ,DOG - GREYHOUND
ADM    ,DOG - MEDIUM
ADO2   ,DOG - OVER 25 KG
AFA    ,CAT - ADULT
AFF    ,CAT - FEMALE (QUEEN)
AFKO8  ,KITTEN - OVER 8 WEEKS
AFU8   ,CAT - UP TO 8 KG
AGD    ,GOAT DOE (FEMALE)
AGMN   ,GOAT NON LACTATING DAIRY
AH     ,HORSE
AHMP   ,HORSE PREGNANT
AHS    ,HORSE STALLION (MALE)
AHST   ,HORSE - STABLED
AIAF   ,FISH AQUARIUM FRESHWATER
AIAFT  ,FISH AQUARIUM FRESHWATER TROPICAL
ALPC   ,PASTURE CATTLE
ALSL1  ,LAMB WITH MULESING WOUND
AMKA   ,KANGAROO
APLAB  ,PIGS - SEE LABEL FOR TYPE
AR     ,RODENT
ART    ,RAT
ASE    ,SHEEP EWE (FEMALE)
ASLU3  ,LAMB UNSHORN - UP TO 3 MONTHS OLD
ASM    ,MERINO SHEEP
AU1    ,CIRCUS ANIMALS - SEE LABEL
CIRB   ,TERMITE NEST CANNOT BE LOCATED
CUTOI  ,CUTTING OIL
FCBB   ,FODDER BEET
FCBBP  ,FODDER BEET - PRE-EMERGENT
FCCLSS ,SUB CLOVER SEED
FCCR   ,COMMERCIAL RYE
FCF    ,FORAGE CROP
FCFL   ,FORAGE LEGUME
FCFS   ,SERRADELLA
FCFSO1 ,FORAGE SORGHUM - DRYLAND
FCFSOD ,DRYLAND FORAGE SORGHUM
FCGA   ,BARLEY
FCGA2  ,BARLEY - POST EMERGENCE
FCGAB1 ,BARLEY - STIRLING VARIETY
FCGAE  ,BARLEY - UNDERSOWN WITH MEDIC
FCGAPA ,BARLEY - PARWAN VARIETY
FCGAS  ,BARLEY - SEEDLING
FCGBC  ,MAIZE - CLEARFIELD TECHNOLOGY
FCGCRU ,CEREAL RYE UNDERSOWN WITH LUCERNE
FCGD   ,OATS
FCGE1  ,RICE - AERIAL SOWN
FCGE3  ,RICE - SEE LABEL
FCGE5  ,RICE - DRY BAYS
FCGE9  ,RICE - UP TO LATE TILLERING
FCGEA  ,RICE - DIRECT DRILLING
FCGEAS ,RICE - AERIAL SOWN INTO FLOODED BAY
FCGEF  ,WHEAT - UP TO EARLY FLAG LEAF (Z37) ONLY
FCGES  ,RICE - SODSEEDING ESTABLISHMENT
FCGF   ,CEREAL RYE
FCGF0  ,CEREAL RYE - UNDERSOWN WITH LINSEED
FCGF2  ,RYE
FCGH113,WHEAT-IMIDAZOLINONE TOLERANT POST EMERG
FCGHE  ,WHEAT - SEED
FCGHP  ,WHEAT - PRIOR TO SOWING
FCGIG  ,LUPIN - GUNGURRU VARIETY
FCGLB  ,GLYCINE FORAGE CROP - PRIOR TO SOWING
FCGLC  ,GRAIN LEGUME
FCGLI  ,SORGHUM - IRRIGATED
FCGLK1 ,LUPIN - KIEV VARIETY
FCGLPT ,SORGHUM - POST-HARVEST
FCGLSL ,SORGHUM - SEE LABEL
FCGLX  ,SORGHUM (SEE LABEL FOR EXCEPTIONS)
FCGP1  ,CEREAL CROP - PRIOR TO ESTABLISHING
FCGS1  ,SORGHUM (CONCEP II TREATED SEED)
FCGVS  ,VETCH SEED
FCGW2  ,WINTER CEREAL - FOR HARVEST
FCGW4  ,WINTER CEREAL - EARLY POST EMERGENCE
FCGWB  ,WINTER CEREAL - PRIOR TO SOWING
FCHP   ,HOPS - PRE-EMERGENT
FCLPP  ,LEGUME BASED PASTURE (POST EMERGENCE)
FCLPPL ,LEGUME BASED PASTURE(POST EMERGE)LUCERNE
FCMED1 ,LUCERNE - FALLOW & SEEDBED
FCMEF  ,LUCERNE FORAGE HAY
FCOEC  ,CANOLA
FCOEI1 ,CANOLA - IMIDAZOLINONE TOLERANT VARIETY
FCOET3 ,CANOLA-TT-PRE & POST EMERGENCE SPLIT APP
FCOT   ,COTTON OILSEED
FCPCWPE,COWPEA - PRE-EMERGENT
FCPK2  ,CHICKPEA - PRIOR TO SOWING & INCORPORATE
FCPK6  ,CHICKPEA - DESI VARIETIES
FCPW   ,FIELD PEA - WIRREGA
FCQ    ,FIELD BEAN
FCSPC  ,SUGAR CANE - PLANT CROP
FCSQ   ,SUGARCANE-PRE-EMERGENCE TO VARIETY Q124
FCSR   ,SUGAR CANE - RATOON CROP
FCSRC1 ,RATOON CANE - NO TRASH BLANKET
FCSRC2 ,RATOON CANE - WITH TRASH BLANKET
FR     ,FRUIT CROP
FR1    ,FRUIT
FRAA   ,ORCHARD - GENERAL
FRAAE  ,ORCHARD - ESTABLISHED
FRBB   ,BLACKCURRANT
FRBJ   ,REDCURRANT
FRBO   ,BERRIES & OTHER SMALL FRUIT
FRBR3  ,RASPBERRY OVER 3 YEARS OLD
FRC    ,CITRUS FRUIT OR TREE
FRC2   ,CITRUS FRUIT - OVER 3 YEARS OLD
FRCBO  ,LENG NAVEL ORANGE
FRCCT  ,CITRUS - TRANSPLANTED TREE
FRCE   ,CITRUS - ESTABLISHED GROVE
FRCF   ,MANDARIN
FRCFE  ,EMPEROR MANDARIN
FRCFNB ,MANDARIN (NON-BEARING)
FRCI   ,CITRUS
FRCT   ,CITRUS TREE - PRIOR TO PLANTING
FRGD   ,DECIDUOUS FRUIT
FRPA4  ,APPLE OVER 4 YEARS OLD
FRPAN  ,APPLE - GRANNY SMITH - POST-HARVEST DIP
FRPD2  ,PEAR - PACKHAMS TRIUMPH - POST HARVEST
FRPDG  ,DORMANT PEAR OVER 3 YEARS OLD
FRPDW  ,WILLIAMS BON CRETEIN PEAR
FRPFP  ,QUINCE - POST-HARVEST
FRPO2  ,POME FRUIT ORCHARD OVER 2 YEARS OLD
FRRSD  ,APPLE - SUNDOWNER
FRSAX  ,APRICOT - POST-HARVEST DIP
FRSCL  ,NECTARINE - SEE LABEL FOR VARIETY
1I     ,INSECTICIDE ADDITIVE
1M     ,MITICIDE ADDITIVE
ABP8   ,POULTRY - LESS THAN 8 WEEKS
ABPD   ,CHICKEN - OLDER THEN 6 WEEKS
ABTP   ,TURKEY POULT (YOUNG)
ACCA   ,CALF
ACCONP1,COW-NOT LACTATING-PREG. NOT W/I 1MTH CAL
ACH    ,HEIFER (YOUNG FEMALE CATTLE)
ACHF   ,HEIFER
ACHV   ,HEIFER (VEALER)
ACNDL  ,CATTLE (NOT LACTATING DAIRY)
