id	command	search_clause	 not_clause	replace_clause	case sensitive	Latin_name	common_name	local_name	alt_names	note_clause	crops	doit	must_update	comments	import_id	exp_cnt	chk	dummy							
180	sp_update	black Bugs		Black bug	0							1	0		221008										
181	sp_update	Black leaf sigatoka		Black sigatoka	0							1	0		221008										
182	sp_update	black Leaf spot		black leaf spot	0							1	0		221008										
183	sp_update	Black leaf streak		Black sigatoka	0							1	0		221008										
184	sp_update	black pod		Black pod 	0							1	0		221008										
185	sp_update	black rot		Black rot	0							1	0		221008										
186	sp_update	Black sigatoka /black sigatoka		Black sigatoka	0							1	0		221008										
187	sp_update	Black Sigatoka ( As adjuvant )		Black sigatoka	0							1	0		221008										
188	sp_update	Black sigatoka as adjuvant in combination with fungicide		Black sigatoka	0							1	0		221008										
189	sp_update	Black sigatoka as spray adjuvant		Black sigatoka	0							1	0		221008										
190	sp_update	Black sigatoka as spray advujant in combination with fungicide		Black sigatoka	0							1	0		221008										
191	sp_update	Black sigatoka as spray advujant in combination with the standardfungicide		Black sigatoka	0							1	0		221008										
192	sp_update	Black sigatoka in combination with the standardfungicides used for sigatoka control		Black sigatoka	0							1	0		221008										
193	sp_update	Black sigatoka leaf streak		Black sigatoka	0							1	0		221008										
194	sp_update	"Black spo,"	black spot	"Black spot,"	0							1	0		221008										
195	sp_update	black spots		Black spot	0							1	0		221008										
196	sp_update	Black strife		Black stripe	0							1	0		221008										
197	sp_update	Blackspot		Black spot	0							1	0		221008										
198	sp_update	Blanket application against broadleaves		Broadleaf weeds	0							1	0		221008										
199	sp_update	Blanket application on broadleaves		Broadleaf weeds	0							1	0		221008	Blanket application 									
200	sp_update	blast	Rice blast	Rice blast	0							1	0		221008										
201	sp_update	blight Anthracnose		"Blight,Anthracnose"	0							1	0		221008										
202	sp_update	bligth		blight	0							1	0		221008										
203	sp_update	block rot		Black rot	0							1	0		221008										
204	sp_update	Blossom thrips		Blosson thrips	0							1	0		221008										
205	sp_update	Blosson Thrips		Blosson thrips	0							1	0		221008										
206	sp_update	Blue mold fusarium		"Blue mold,Fusarium"	0							1	0		221008										
207	sp_update	boll weevil		Boll weevil	0							1	0		221008										
208	sp_update	bollweevil		Boll weevil	0							1	0		221008										
209	sp_update	Bollworms		Bollworm	0							1	0		221008										
210	sp_update	Borers		Borer	0							1	0		221008										
211	sp_update	Botrytis Leaf blight		Botrytis leaf blight	0							1	0		221008										
212	sp_update	botrytis Leaf blight		Botrytis leaf blight	0							1	0		221008										
213	sp_update	botrytis Leaf spot		Botrytis leaf spot	0							1	0		221008										
214	sp_update	botrytis rot		Botrytis rot	0							1	0		221008										
215	sp_update	Botrytis rot. Grey molds		"Botrytis rot,Grey molds"	0							1	0		221008										
216	sp_update	BPH		Brown planthopper	0							1	0		221008										
217	sp_update	BroadleavesFimbristylis milliacea(gumi)		"Broad leaf weeds,Hoorahgrass"	0							1	0		221008										
218	sp_update	{ broadleaves }		{Broadleaf weeds}	0							1	0		221008										
219	sp_update	broad leaves		{Broadleaf weeds}	0							1	0		221008										
220	sp_update	Broadleaf of weeds		{Broadleaf weeds}	0							1	0		221008										
221	sp_update	broadleaf weed	broadleaf weeds 	{Broadleaf weeds}	0							1	0		221008										
222	sp_update	Broadleaf Weeds		{Broadleaf weeds}	0							1	0		221008										
223	sp_update	broadleaf weeds		{Broadleaf weeds}	0							1	0		221008										
224	sp_update	Broadleaf Weeds		{Broadleaf weeds}	0							1	0		221008										
225	sp_update	Broad-leaf Weeds		{Broadleaf weeds}	0							1	0		221008										
226	sp_update	broadleaf weedss		{Broadleaf weeds}	0							1	0		221008										
227	sp_update	{Broadleaf weeds weeds}		{Broadleaf weeds}	0							1	0		221008										
228	sp_update	Broad-leaved weeds		{Broadleaf weeds}	0							1	0		221008										
229	sp_update	broadleaves		{Broadleaf weeds}	0							1	0		221008										
230	sp_update	Brodaleaf weeds		{Broadleaf weeds}	0							1	0		221008										
231	sp_update	brodleaf weeds		{Broadleaf weeds}	0							1	0		221008		Broadleaf weeds weeds								
232	sp_update	brodleaves		{Broadleaf weeds}	0							1	0		221008		Broadleaf weeds weeds								
233	sp_update	Brodleaves		{Broadleaf weeds}	0							1	0		221008										
234	sp_update	Broadleaf weeds weeds		{Broadleaf weeds}	0							1	0		221008										
235	sp_update	browm Planthopper		Brown planthopper	0							1	0		221008		broadleaves								
236	sp_update	brown bark rot		Brown bark rot	0							1	0		221008		Broad-leaf Weeds								
237	sp_update	brown leaf spot		Brown leaf spot	0							1	0		221008		broadleaf weedss								
238	sp_update	Brown Leaf spot		Brown leaf spot	0							1	0		221008										
239	sp_update	Brown Leafhopper		Brown leafhopper	0							1	0		221008										
240	sp_update	brown Leafspot (drone application)		Brown leaf spot	0							1	0		221008		(drone application)								
241	sp_update	Brown plant hopper		Brown planthopper	0							1	0		221008										
242	sp_update	Brown Planthopper		Brown planthopper	0							1	0		221008										
243	sp_update	brown Planthopper		Brown planthopper	0							1	0		221008										
244	sp_update	Brown planthopper (Nilaparvata Lugens)		Brown planthopper	0							1	0		221008		Nilaparvata Lugens								
245	sp_update	Brown spots		Brown spot	0							1	0		221008										
246	sp_update	brown/whitebacked planthopper		"Brown planthopper,White backed planthopper"	0							1	0		221008										
